population_statistics,調査年,標準地域コード,町丁字コード,都道府県名,市区町村名,行政区名,大字・町名,字・丁目名,最少年齢,最大年齢,人口,男性人口,女性人口,備考
statistical_population_data_1,2010,182028,,福井県,敦賀市,,,,0,0,633,333,300,
statistical_population_data_2,2010,182028,,福井県,敦賀市,,,,1,1,621,320,301,
statistical_population_data_3,2010,182028,,福井県,敦賀市,,,,2,2,659,320,339,
statistical_population_data_4,2010,182028,,福井県,敦賀市,,,,3,3,663,355,308,
statistical_population_data_5,2010,182028,,福井県,敦賀市,,,,4,4,661,356,305,
statistical_population_data_6,2010,182028,,福井県,敦賀市,,,,5,5,602,312,290,
statistical_population_data_7,2010,182028,,福井県,敦賀市,,,,6,6,674,336,338,
statistical_population_data_8,2010,182028,,福井県,敦賀市,,,,7,7,678,346,332,
statistical_population_data_9,2010,182028,,福井県,敦賀市,,,,8,8,650,324,326,
statistical_population_data_10,2010,182028,,福井県,敦賀市,,,,9,9,708,356,352,
statistical_population_data_11,2010,182028,,福井県,敦賀市,,,,10,10,675,358,317,
statistical_population_data_12,2010,182028,,福井県,敦賀市,,,,11,11,714,389,325,
statistical_population_data_13,2010,182028,,福井県,敦賀市,,,,12,12,720,374,346,
statistical_population_data_14,2010,182028,,福井県,敦賀市,,,,13,13,719,366,353,
statistical_population_data_15,2010,182028,,福井県,敦賀市,,,,14,14,644,340,304,
statistical_population_data_16,2010,182028,,福井県,敦賀市,,,,15,15,686,372,314,
statistical_population_data_17,2010,182028,,福井県,敦賀市,,,,16,16,675,351,324,
statistical_population_data_18,2010,182028,,福井県,敦賀市,,,,17,17,695,357,338,
statistical_population_data_19,2010,182028,,福井県,敦賀市,,,,18,18,655,323,332,
statistical_population_data_20,2010,182028,,福井県,敦賀市,,,,19,19,675,354,321,
statistical_population_data_21,2010,182028,,福井県,敦賀市,,,,20,20,689,342,347,
statistical_population_data_22,2010,182028,,福井県,敦賀市,,,,21,21,728,388,340,
statistical_population_data_23,2010,182028,,福井県,敦賀市,,,,22,22,637,316,321,
statistical_population_data_24,2010,182028,,福井県,敦賀市,,,,23,23,707,344,363,
statistical_population_data_25,2010,182028,,福井県,敦賀市,,,,24,24,711,372,339,
statistical_population_data_26,2010,182028,,福井県,敦賀市,,,,25,25,746,362,384,
statistical_population_data_27,2010,182028,,福井県,敦賀市,,,,26,26,736,366,370,
statistical_population_data_28,2010,182028,,福井県,敦賀市,,,,27,27,737,361,376,
statistical_population_data_29,2010,182028,,福井県,敦賀市,,,,28,28,717,379,338,
statistical_population_data_30,2010,182028,,福井県,敦賀市,,,,29,29,842,426,416,
statistical_population_data_31,2010,182028,,福井県,敦賀市,,,,30,30,814,407,407,
statistical_population_data_32,2010,182028,,福井県,敦賀市,,,,31,31,826,417,409,
statistical_population_data_33,2010,182028,,福井県,敦賀市,,,,32,32,859,462,397,
statistical_population_data_34,2010,182028,,福井県,敦賀市,,,,33,33,882,461,421,
statistical_population_data_35,2010,182028,,福井県,敦賀市,,,,34,34,1009,515,494,
statistical_population_data_36,2010,182028,,福井県,敦賀市,,,,35,35,1010,515,495,
statistical_population_data_37,2010,182028,,福井県,敦賀市,,,,36,36,1032,526,506,
statistical_population_data_38,2010,182028,,福井県,敦賀市,,,,37,37,1106,560,546,
statistical_population_data_39,2010,182028,,福井県,敦賀市,,,,38,38,1035,520,515,
statistical_population_data_40,2010,182028,,福井県,敦賀市,,,,39,39,942,487,455,
statistical_population_data_41,2010,182028,,福井県,敦賀市,,,,40,40,930,468,462,
statistical_population_data_42,2010,182028,,福井県,敦賀市,,,,41,41,913,469,444,
statistical_population_data_43,2010,182028,,福井県,敦賀市,,,,42,42,907,471,436,
statistical_population_data_44,2010,182028,,福井県,敦賀市,,,,43,43,920,462,458,
statistical_population_data_45,2010,182028,,福井県,敦賀市,,,,44,44,680,357,323,
statistical_population_data_46,2010,182028,,福井県,敦賀市,,,,45,45,885,455,430,
statistical_population_data_47,2010,182028,,福井県,敦賀市,,,,46,46,888,444,444,
statistical_population_data_48,2010,182028,,福井県,敦賀市,,,,47,47,851,436,415,
statistical_population_data_49,2010,182028,,福井県,敦賀市,,,,48,48,867,429,438,
statistical_population_data_50,2010,182028,,福井県,敦賀市,,,,49,49,862,474,388,
statistical_population_data_51,2010,182028,,福井県,敦賀市,,,,50,50,879,439,440,
statistical_population_data_52,2010,182028,,福井県,敦賀市,,,,51,51,945,493,452,
statistical_population_data_53,2010,182028,,福井県,敦賀市,,,,52,52,869,451,418,
statistical_population_data_54,2010,182028,,福井県,敦賀市,,,,53,53,849,430,419,
statistical_population_data_55,2010,182028,,福井県,敦賀市,,,,54,54,959,483,476,
statistical_population_data_56,2010,182028,,福井県,敦賀市,,,,55,55,971,502,469,
statistical_population_data_57,2010,182028,,福井県,敦賀市,,,,56,56,883,469,414,
statistical_population_data_58,2010,182028,,福井県,敦賀市,,,,57,57,985,497,488,
statistical_population_data_59,2010,182028,,福井県,敦賀市,,,,58,58,992,503,489,
statistical_population_data_60,2010,182028,,福井県,敦賀市,,,,59,59,1017,516,501,
statistical_population_data_61,2010,182028,,福井県,敦賀市,,,,60,60,1178,570,608,
statistical_population_data_62,2010,182028,,福井県,敦賀市,,,,61,61,1272,664,608,
statistical_population_data_63,2010,182028,,福井県,敦賀市,,,,62,62,1187,584,603,
statistical_population_data_64,2010,182028,,福井県,敦賀市,,,,63,63,1089,543,546,
statistical_population_data_65,2010,182028,,福井県,敦賀市,,,,64,64,609,297,312,
statistical_population_data_66,2010,182028,,福井県,敦賀市,,,,65,65,701,347,354,
statistical_population_data_67,2010,182028,,福井県,敦賀市,,,,66,66,831,386,445,
statistical_population_data_68,2010,182028,,福井県,敦賀市,,,,67,67,853,410,443,
statistical_population_data_69,2010,182028,,福井県,敦賀市,,,,68,68,835,400,435,
statistical_population_data_70,2010,182028,,福井県,敦賀市,,,,69,69,752,370,382,
statistical_population_data_71,2010,182028,,福井県,敦賀市,,,,70,70,691,319,372,
statistical_population_data_72,2010,182028,,福井県,敦賀市,,,,71,71,592,282,310,
statistical_population_data_73,2010,182028,,福井県,敦賀市,,,,72,72,648,289,359,
statistical_population_data_74,2010,182028,,福井県,敦賀市,,,,73,73,710,321,389,
statistical_population_data_75,2010,182028,,福井県,敦賀市,,,,74,74,710,295,415,
statistical_population_data_76,2010,182028,,福井県,敦賀市,,,,75,75,630,262,368,
statistical_population_data_77,2010,182028,,福井県,敦賀市,,,,76,76,639,259,380,
statistical_population_data_78,2010,182028,,福井県,敦賀市,,,,77,77,643,279,364,
statistical_population_data_79,2010,182028,,福井県,敦賀市,,,,78,78,689,282,407,
statistical_population_data_80,2010,182028,,福井県,敦賀市,,,,79,79,665,301,364,
statistical_population_data_81,2010,182028,,福井県,敦賀市,,,,80,80,604,265,339,
statistical_population_data_82,2010,182028,,福井県,敦賀市,,,,81,81,587,251,336,
statistical_population_data_83,2010,182028,,福井県,敦賀市,,,,82,82,510,185,325,
statistical_population_data_84,2010,182028,,福井県,敦賀市,,,,83,83,471,184,287,
statistical_population_data_85,2010,182028,,福井県,敦賀市,,,,84,84,418,140,278,
statistical_population_data_86,2010,182028,,福井県,敦賀市,,,,85,85,422,134,288,
statistical_population_data_87,2010,182028,,福井県,敦賀市,,,,86,86,297,93,204,
statistical_population_data_88,2010,182028,,福井県,敦賀市,,,,87,87,261,70,191,
statistical_population_data_89,2010,182028,,福井県,敦賀市,,,,88,88,231,48,183,
statistical_population_data_90,2010,182028,,福井県,敦賀市,,,,89,89,227,59,168,
statistical_population_data_91,2010,182028,,福井県,敦賀市,,,,90,,758,175,583,
statistical_population_data_92,2010,182028,,福井県,敦賀市,,,,0,,68934,33780,35154,
statistical_population_data_93,2011,182028,,福井県,敦賀市,,,,0,0,652,325,327,
statistical_population_data_94,2011,182028,,福井県,敦賀市,,,,1,1,649,350,299,
statistical_population_data_95,2011,182028,,福井県,敦賀市,,,,2,2,635,332,303,
statistical_population_data_96,2011,182028,,福井県,敦賀市,,,,3,3,661,314,347,
statistical_population_data_97,2011,182028,,福井県,敦賀市,,,,4,4,666,352,314,
statistical_population_data_98,2011,182028,,福井県,敦賀市,,,,5,5,659,358,301,
statistical_population_data_99,2011,182028,,福井県,敦賀市,,,,6,6,601,310,291,
statistical_population_data_100,2011,182028,,福井県,敦賀市,,,,7,7,676,338,338,
statistical_population_data_101,2011,182028,,福井県,敦賀市,,,,8,8,678,346,332,
statistical_population_data_102,2011,182028,,福井県,敦賀市,,,,9,9,652,325,327,
statistical_population_data_103,2011,182028,,福井県,敦賀市,,,,10,10,706,354,352,
statistical_population_data_104,2011,182028,,福井県,敦賀市,,,,11,11,687,365,322,
statistical_population_data_105,2011,182028,,福井県,敦賀市,,,,12,12,720,393,327,
statistical_population_data_106,2011,182028,,福井県,敦賀市,,,,13,13,721,374,347,
statistical_population_data_107,2011,182028,,福井県,敦賀市,,,,14,14,720,368,352,
statistical_population_data_108,2011,182028,,福井県,敦賀市,,,,15,15,649,346,303,
statistical_population_data_109,2011,182028,,福井県,敦賀市,,,,16,16,682,368,314,
statistical_population_data_110,2011,182028,,福井県,敦賀市,,,,17,17,677,351,326,
statistical_population_data_111,2011,182028,,福井県,敦賀市,,,,18,18,684,352,332,
statistical_population_data_112,2011,182028,,福井県,敦賀市,,,,19,19,637,312,325,
statistical_population_data_113,2011,182028,,福井県,敦賀市,,,,20,20,663,352,311,
statistical_population_data_114,2011,182028,,福井県,敦賀市,,,,21,21,690,353,337,
statistical_population_data_115,2011,182028,,福井県,敦賀市,,,,22,22,721,392,329,
statistical_population_data_116,2011,182028,,福井県,敦賀市,,,,23,23,649,332,317,
statistical_population_data_117,2011,182028,,福井県,敦賀市,,,,24,24,715,356,359,
statistical_population_data_118,2011,182028,,福井県,敦賀市,,,,25,25,713,383,330,
statistical_population_data_119,2011,182028,,福井県,敦賀市,,,,26,26,773,379,394,
statistical_population_data_120,2011,182028,,福井県,敦賀市,,,,27,27,775,392,383,
statistical_population_data_121,2011,182028,,福井県,敦賀市,,,,28,28,773,394,379,
statistical_population_data_122,2011,182028,,福井県,敦賀市,,,,29,29,743,395,348,
statistical_population_data_123,2011,182028,,福井県,敦賀市,,,,30,30,850,433,417,
statistical_population_data_124,2011,182028,,福井県,敦賀市,,,,31,31,820,420,400,
statistical_population_data_125,2011,182028,,福井県,敦賀市,,,,32,32,839,416,423,
statistical_population_data_126,2011,182028,,福井県,敦賀市,,,,33,33,880,473,407,
statistical_population_data_127,2011,182028,,福井県,敦賀市,,,,34,34,901,463,438,
statistical_population_data_128,2011,182028,,福井県,敦賀市,,,,35,35,1022,517,505,
statistical_population_data_129,2011,182028,,福井県,敦賀市,,,,36,36,1031,526,505,
statistical_population_data_130,2011,182028,,福井県,敦賀市,,,,37,37,1024,524,500,
statistical_population_data_131,2011,182028,,福井県,敦賀市,,,,38,38,1107,559,548,
statistical_population_data_132,2011,182028,,福井県,敦賀市,,,,39,39,1048,524,524,
statistical_population_data_133,2011,182028,,福井県,敦賀市,,,,40,40,951,487,464,
statistical_population_data_134,2011,182028,,福井県,敦賀市,,,,41,41,934,470,464,
statistical_population_data_135,2011,182028,,福井県,敦賀市,,,,42,42,912,467,445,
statistical_population_data_136,2011,182028,,福井県,敦賀市,,,,43,43,910,475,435,
statistical_population_data_137,2011,182028,,福井県,敦賀市,,,,44,44,923,470,453,
statistical_population_data_138,2011,182028,,福井県,敦賀市,,,,45,45,670,351,319,
statistical_population_data_139,2011,182028,,福井県,敦賀市,,,,46,46,886,454,432,
statistical_population_data_140,2011,182028,,福井県,敦賀市,,,,47,47,890,448,442,
statistical_population_data_141,2011,182028,,福井県,敦賀市,,,,48,48,839,426,413,
statistical_population_data_142,2011,182028,,福井県,敦賀市,,,,49,49,863,427,436,
statistical_population_data_143,2011,182028,,福井県,敦賀市,,,,50,50,854,467,387,
statistical_population_data_144,2011,182028,,福井県,敦賀市,,,,51,51,877,439,438,
statistical_population_data_145,2011,182028,,福井県,敦賀市,,,,52,52,936,490,446,
statistical_population_data_146,2011,182028,,福井県,敦賀市,,,,53,53,871,453,418,
statistical_population_data_147,2011,182028,,福井県,敦賀市,,,,54,54,845,432,413,
statistical_population_data_148,2011,182028,,福井県,敦賀市,,,,55,55,958,486,472,
statistical_population_data_149,2011,182028,,福井県,敦賀市,,,,56,56,965,497,468,
statistical_population_data_150,2011,182028,,福井県,敦賀市,,,,57,57,880,467,413,
statistical_population_data_151,2011,182028,,福井県,敦賀市,,,,58,58,981,494,487,
statistical_population_data_152,2011,182028,,福井県,敦賀市,,,,59,59,984,498,486,
statistical_population_data_153,2011,182028,,福井県,敦賀市,,,,60,60,1017,513,504,
statistical_population_data_154,2011,182028,,福井県,敦賀市,,,,61,61,1174,571,603,
statistical_population_data_155,2011,182028,,福井県,敦賀市,,,,62,62,1267,656,611,
statistical_population_data_156,2011,182028,,福井県,敦賀市,,,,63,63,1186,581,605,
statistical_population_data_157,2011,182028,,福井県,敦賀市,,,,64,64,1079,535,544,
statistical_population_data_158,2011,182028,,福井県,敦賀市,,,,65,65,608,293,315,
statistical_population_data_159,2011,182028,,福井県,敦賀市,,,,66,66,688,344,344,
statistical_population_data_160,2011,182028,,福井県,敦賀市,,,,67,67,822,381,441,
statistical_population_data_161,2011,182028,,福井県,敦賀市,,,,68,68,845,403,442,
statistical_population_data_162,2011,182028,,福井県,敦賀市,,,,69,69,824,393,431,
statistical_population_data_163,2011,182028,,福井県,敦賀市,,,,70,70,739,361,378,
statistical_population_data_164,2011,182028,,福井県,敦賀市,,,,71,71,686,318,368,
statistical_population_data_165,2011,182028,,福井県,敦賀市,,,,72,72,583,273,310,
statistical_population_data_166,2011,182028,,福井県,敦賀市,,,,73,73,636,282,354,
statistical_population_data_167,2011,182028,,福井県,敦賀市,,,,74,74,697,314,383,
statistical_population_data_168,2011,182028,,福井県,敦賀市,,,,75,75,693,284,409,
statistical_population_data_169,2011,182028,,福井県,敦賀市,,,,76,76,614,251,363,
statistical_population_data_170,2011,182028,,福井県,敦賀市,,,,77,77,618,246,372,
statistical_population_data_171,2011,182028,,福井県,敦賀市,,,,78,78,619,260,359,
statistical_population_data_172,2011,182028,,福井県,敦賀市,,,,79,79,671,271,400,
statistical_population_data_173,2011,182028,,福井県,敦賀市,,,,80,80,636,281,355,
statistical_population_data_174,2011,182028,,福井県,敦賀市,,,,81,81,584,253,331,
statistical_population_data_175,2011,182028,,福井県,敦賀市,,,,82,82,559,232,327,
statistical_population_data_176,2011,182028,,福井県,敦賀市,,,,83,83,484,170,314,
statistical_population_data_177,2011,182028,,福井県,敦賀市,,,,84,84,436,162,274,
statistical_population_data_178,2011,182028,,福井県,敦賀市,,,,85,85,391,133,258,
statistical_population_data_179,2011,182028,,福井県,敦賀市,,,,86,86,398,124,274,
statistical_population_data_180,2011,182028,,福井県,敦賀市,,,,87,87,267,84,183,
statistical_population_data_181,2011,182028,,福井県,敦賀市,,,,88,88,239,63,176,
statistical_population_data_182,2011,182028,,福井県,敦賀市,,,,89,89,214,45,169,
statistical_population_data_183,2011,182028,,福井県,敦賀市,,,,90,,818,183,635,
statistical_population_data_184,2011,182028,,福井県,敦賀市,,,,0,,69170,33974,35196,
statistical_population_data_185,2012,182028,,福井県,敦賀市,,,,0,0,581,302,279,
statistical_population_data_186,2012,182028,,福井県,敦賀市,,,,1,1,656,324,332,
statistical_population_data_187,2012,182028,,福井県,敦賀市,,,,2,2,657,355,302,
statistical_population_data_188,2012,182028,,福井県,敦賀市,,,,3,3,616,318,298,
statistical_population_data_189,2012,182028,,福井県,敦賀市,,,,4,4,656,320,336,
statistical_population_data_190,2012,182028,,福井県,敦賀市,,,,5,5,660,344,316,
statistical_population_data_191,2012,182028,,福井県,敦賀市,,,,6,6,658,361,297,
statistical_population_data_192,2012,182028,,福井県,敦賀市,,,,7,7,601,307,294,
statistical_population_data_193,2012,182028,,福井県,敦賀市,,,,8,8,672,338,334,
statistical_population_data_194,2012,182028,,福井県,敦賀市,,,,9,9,677,346,331,
statistical_population_data_195,2012,182028,,福井県,敦賀市,,,,10,10,642,319,323,
statistical_population_data_196,2012,182028,,福井県,敦賀市,,,,11,11,705,357,348,
statistical_population_data_197,2012,182028,,福井県,敦賀市,,,,12,12,683,364,319,
statistical_population_data_198,2012,182028,,福井県,敦賀市,,,,13,13,716,389,327,
statistical_population_data_199,2012,182028,,福井県,敦賀市,,,,14,14,722,375,347,
statistical_population_data_200,2012,182028,,福井県,敦賀市,,,,15,15,717,368,349,
statistical_population_data_201,2012,182028,,福井県,敦賀市,,,,16,16,652,350,302,
statistical_population_data_202,2012,182028,,福井県,敦賀市,,,,17,17,681,368,313,
statistical_population_data_203,2012,182028,,福井県,敦賀市,,,,18,18,665,350,315,
statistical_population_data_204,2012,182028,,福井県,敦賀市,,,,19,19,663,340,323,
statistical_population_data_205,2012,182028,,福井県,敦賀市,,,,20,20,619,306,313,
statistical_population_data_206,2012,182028,,福井県,敦賀市,,,,21,21,643,338,305,
statistical_population_data_207,2012,182028,,福井県,敦賀市,,,,22,22,692,359,333,
statistical_population_data_208,2012,182028,,福井県,敦賀市,,,,23,23,698,386,312,
statistical_population_data_209,2012,182028,,福井県,敦賀市,,,,24,24,642,328,314,
statistical_population_data_210,2012,182028,,福井県,敦賀市,,,,25,25,718,369,349,
statistical_population_data_211,2012,182028,,福井県,敦賀市,,,,26,26,704,379,325,
statistical_population_data_212,2012,182028,,福井県,敦賀市,,,,27,27,788,396,392,
statistical_population_data_213,2012,182028,,福井県,敦賀市,,,,28,28,772,393,379,
statistical_population_data_214,2012,182028,,福井県,敦賀市,,,,29,29,772,391,381,
statistical_population_data_215,2012,182028,,福井県,敦賀市,,,,30,30,739,383,356,
statistical_population_data_216,2012,182028,,福井県,敦賀市,,,,31,31,845,428,417,
statistical_population_data_217,2012,182028,,福井県,敦賀市,,,,32,32,821,422,399,
statistical_population_data_218,2012,182028,,福井県,敦賀市,,,,33,33,828,410,418,
statistical_population_data_219,2012,182028,,福井県,敦賀市,,,,34,34,863,462,401,
statistical_population_data_220,2012,182028,,福井県,敦賀市,,,,35,35,904,469,435,
statistical_population_data_221,2012,182028,,福井県,敦賀市,,,,36,36,1024,519,505,
statistical_population_data_222,2012,182028,,福井県,敦賀市,,,,37,37,1016,514,502,
statistical_population_data_223,2012,182028,,福井県,敦賀市,,,,38,38,1016,515,501,
statistical_population_data_224,2012,182028,,福井県,敦賀市,,,,39,39,1087,545,542,
statistical_population_data_225,2012,182028,,福井県,敦賀市,,,,40,40,1048,523,525,
statistical_population_data_226,2012,182028,,福井県,敦賀市,,,,41,41,957,495,462,
statistical_population_data_227,2012,182028,,福井県,敦賀市,,,,42,42,922,463,459,
statistical_population_data_228,2012,182028,,福井県,敦賀市,,,,43,43,906,463,443,
statistical_population_data_229,2012,182028,,福井県,敦賀市,,,,44,44,900,470,430,
statistical_population_data_230,2012,182028,,福井県,敦賀市,,,,45,45,913,462,451,
statistical_population_data_231,2012,182028,,福井県,敦賀市,,,,46,46,668,345,323,
statistical_population_data_232,2012,182028,,福井県,敦賀市,,,,47,47,878,452,426,
statistical_population_data_233,2012,182028,,福井県,敦賀市,,,,48,48,882,440,442,
statistical_population_data_234,2012,182028,,福井県,敦賀市,,,,49,49,842,429,413,
statistical_population_data_235,2012,182028,,福井県,敦賀市,,,,50,50,867,429,438,
statistical_population_data_236,2012,182028,,福井県,敦賀市,,,,51,51,847,460,387,
statistical_population_data_237,2012,182028,,福井県,敦賀市,,,,52,52,870,439,431,
statistical_population_data_238,2012,182028,,福井県,敦賀市,,,,53,53,939,488,451,
statistical_population_data_239,2012,182028,,福井県,敦賀市,,,,54,54,871,462,409,
statistical_population_data_240,2012,182028,,福井県,敦賀市,,,,55,55,840,434,406,
statistical_population_data_241,2012,182028,,福井県,敦賀市,,,,56,56,943,472,471,
statistical_population_data_242,2012,182028,,福井県,敦賀市,,,,57,57,958,496,462,
statistical_population_data_243,2012,182028,,福井県,敦賀市,,,,58,58,873,460,413,
statistical_population_data_244,2012,182028,,福井県,敦賀市,,,,59,59,970,490,480,
statistical_population_data_245,2012,182028,,福井県,敦賀市,,,,60,60,973,489,484,
statistical_population_data_246,2012,182028,,福井県,敦賀市,,,,61,61,1007,505,502,
statistical_population_data_247,2012,182028,,福井県,敦賀市,,,,62,62,1160,558,602,
statistical_population_data_248,2012,182028,,福井県,敦賀市,,,,63,63,1258,651,607,
statistical_population_data_249,2012,182028,,福井県,敦賀市,,,,64,64,1181,575,606,
statistical_population_data_250,2012,182028,,福井県,敦賀市,,,,65,65,1070,531,539,
statistical_population_data_251,2012,182028,,福井県,敦賀市,,,,66,66,602,290,312,
statistical_population_data_252,2012,182028,,福井県,敦賀市,,,,67,67,690,346,344,
statistical_population_data_253,2012,182028,,福井県,敦賀市,,,,68,68,808,372,436,
statistical_population_data_254,2012,182028,,福井県,敦賀市,,,,69,69,835,398,437,
statistical_population_data_255,2012,182028,,福井県,敦賀市,,,,70,70,808,381,427,
statistical_population_data_256,2012,182028,,福井県,敦賀市,,,,71,71,725,348,377,
statistical_population_data_257,2012,182028,,福井県,敦賀市,,,,72,72,669,306,363,
statistical_population_data_258,2012,182028,,福井県,敦賀市,,,,73,73,574,267,307,
